鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物)+車位,臺中市北屯區松義街163號7樓,18.86,住,,,1080215,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810903,91.74,3,2,2,有,無,有,8000,87,坡道機械,0.0,0,,RPSOMLTKKHOFFBB58CC
北屯區,房地(土地+建物),臺中市北屯區祥順東路二段40號4樓之5,21.78,住,,,1080119,土地1建物0車位0,四層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071009,120.8,3,2,2,有,有,有,17100,142,,0.0,0,此為台中市政府社會住宅包租代管試辦計畫，原價租金19000元，房東租金9折17100元，房客租金7折13300元。,RPOPMLTKKHOFFBB28CC
北屯區,房地(土地+建物),臺中市北屯區北平路三段83之4號,13.22,住,,,1080122,土地1建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730417,13.22,1,0,1,有,無,有,4500,340,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金5000房東租金9折4500房客租金7折3500,RPQPMLTKKHOFFBB48CC
北屯區,房地(土地+建物),臺中市北屯區北平路三段83之4號,23.14,住,,,1080122,土地1建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730417,23.14,1,0,1,有,無,有,5130,222,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金5700房東租金9折5130房客租金9折5130,RPRPMLTKKHOFFBB58CC
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路129號24樓之7,5466.45,其他,,,1080120,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,67.45,2,2,1,有,有,有,19500,289,坡道機械,13.89,0,含管理費、稅金或水電等費用。；,RPUNMLTKKHOFFCB78CC
西屯區,房地(土地+建物)+車位,臺中市西屯區至善路38巷58號3樓之1,3001.0,其他,,,1080130,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980121,77.86,2,1,1,有,有,有,20000,257,坡道機械,18.91,0,含管理費、稅金或水電等費用。；,RPROMLTKKHOFFCB58CC
南屯區,土地,鎮南段111地號,522.1,住,,,1080212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,35000,67,,0.0,0,2.租賃期限自民國108年3月1日起至民國109年2月29日止，共計1年0個月，並有如下價格之優先承租權，至重劃拆屋止及部分分租的權力。3.租金及押金1每月租金新台幣參萬伍仟元整，於每月五日以前繳納。2押租保證金新台幣柒萬元整，於租賃期滿，乙方騰空交還房屋時，無息返還乙方。4.使用租賃限制1本房屋提供營業之用2乙方原則租賃到重劃房屋拆遷期滿，應即將房屋遷讓交還，不得藉詞推諉或主張任何權利，並不得向甲方請求遷移費用或其他費用。若因重劃拆遷不續租，甲方需提早三個月告知。3房屋不得供非法使用或存放危險物品影響公共安全。4房屋有改裝設施之必要時，甲方同意乙方得自行裝設，但不得損害原有建築結構；乙方於交屋時並應負責拆除回復原狀及廢棄物清除。,RPWOMLTKKHOFFCB09CC
西屯區,建物,臺中市西屯區西屯路二段296之11號,0.0,住,,,1080122,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0760407,27.2,1,0,1,有,無,有,10800,397,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金12000房東租金9折10800房客租金7折8400,RPPOMLKLKHOFFCB57CC
西屯區,房地(土地+建物)+車位,臺中市西屯區河南路三段131號3F2,10.27,住,,,1080219,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960313,86.6,1,1,1,有,有,有,24903,288,坡道平面,0.0,0,起租日:108/03/01租金總額含稅含管。,RPTPMLKLKHOFFCB08CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段821號16樓之2,1.77,商,,,1080122,土地1建物1車位0,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850627,30.2,1,0,1,有,有,有,8900,295,,0.0,0,,RPOPMLKLKHOFFBB47CC
