鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
崙背鄉,房地(土地+建物),雲林縣崙背鄉南昌路１０８號,102.19,住,,,1080215,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1071005,216.36,4,2,3,有,無,8500000,39286,,0.0,0,,RPQNMLSJLHOFFCP86CA,196.84,0.0,19.52,,
虎尾鎮,土地,興安段659地號,46.48,,鄉村區,乙種建築用地,1080120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,253080,5445,,0.0,0,,RPUNMLRLLHOFFDP47CA,0.0,0.0,0.0,,
虎尾鎮,土地,高南段226-1地號,1321.21,住,,,1071217,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,55553713,42048,,0.0,0,,RPVNMLRLLHOFFDP57CA,0.0,0.0,0.0,,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內２０５號之５,131.02,,鄉村區,乙種建築用地,1060607,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071015,203.04,5,3,4,有,無,6880000,33885,,0.0,0,,RPTOMLLLLHOFFDP86CA,189.33,0.0,13.71,,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內２０５號之３,183.37,,鄉村區,乙種建築用地,1061005,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071015,233.38,4,3,4,有,無,8550000,36636,,0.0,0,,RPWNMLLLLHOFFDP07CA,227.51,0.0,5.87,,
土庫鎮,土地,越港段434-38地號,85.5,住,,,1080222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1551825,18150,,0.0,0,,RPTNMLRJLHOFFDP17CA,0.0,0.0,0.0,,
土庫鎮,土地,越港段434-31地號,85.5,住,,,1080222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1551825,18150,,0.0,0,,RPUNMLRJLHOFFDP27CA,0.0,0.0,0.0,,
虎尾鎮,土地,高南段65地號,1579.25,住,,,1080111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,54950000,34795,,0.0,0,,RPPNMLLKLHOFFDP88CA,0.0,0.0,0.0,,
虎尾鎮,土地,大屯段542地號,105.02,,鄉村區,乙種建築用地,1070921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2122236,20208,,0.0,0,,RPPNMLKLLHOFFDP88CA,0.0,0.0,0.0,,
虎尾鎮,土地,大屯段543地號,105.24,,鄉村區,乙種建築用地,1070921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2126912,20210,,0.0,0,,RPQNMLKLLHOFFDP98CA,0.0,0.0,0.0,,
虎尾鎮,土地,高南段298地號,194.08,住,,,1080221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4696000,24196,,0.0,0,,RPSNMLNKLHOFFDP76CA,0.0,0.0,0.0,,
元長鄉,土地,長北段353地號,4141.0,,特定農業區,農牧用地,1080129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,966,,0.0,0,,RPPNMLLJMHOFFEP98CA,0.0,0.0,0.0,,
元長鄉,土地,瓦段681-5地號,716.0,,鄉村區,乙種建築用地,1071126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5414750,7563,,0.0,0,,RPTNMLPLLHOFFEP27CA,0.0,0.0,0.0,,
水林鄉,土地,東興段1923地號,2181.59,,特定農業區,農牧用地,1080218,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1199875,550,,0.0,0,,RPRNMLSJLHOFFEP17CA,0.0,0.0,0.0,,
