鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮自由路１８８號,126.26,住,,,1080222,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1050615,273.97,4,2,5,有,無,13200000,48180,,0.0,0,,RPTNMLMLMHOFFCT27CA,267.81,0.0,6.16,,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮公園路２３９巷１號四樓之２,49.92,住,,,1060728,土地6建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1071206,124.50999999999999,3,2,2,有,無,4160000,33411,一樓平面,0.0,0,,RPTOMLTLMHOFFCT08CA,76.88,0.0,8.08,,
屏東市,房地(土地+建物),屏東縣屏東市重慶路166號,72.0,住,,,1080312,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土造,0690801,147.24,1,1,2,有,無,1910000,12972,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLRLLHOFFAT17DA,147.24,0.0,0.0,,
屏東市,土地,林內段1356-1地號,58.0,住,,,1080306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3091400,53300,,0.0,0,向政府機關承購之案件。；,RPTOMLRLLHOFFAT67DA,0.0,0.0,0.0,,
新園鄉,土地,上烏龍段199地號,36.15,住,,,1080227,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,548396,15170,,0.0,0,向政府機關承購之案件。；,RPTNMLTKMHOFFDT08DA,0.0,0.0,0.0,,
恆春鎮,土地,大平頂段下大平頂小段72-14地號,2978.0,,一般農業區,農牧用地,1080304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3870000,1300,,0.0,0,,RPRNMLTLLHOFFET97DA,0.0,0.0,0.0,,
春日鄉,房地(土地+建物),屏東縣春日鄉古華路１巷３９之１號,75.0,,鄉村區,乙種建築用地,1080304,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0711213,43.99,1,1,1,有,無,800000,18186,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLTLLHOFFFT97EA,43.99,0.0,0.0,,
佳冬鄉,房地(土地+建物),屏東縣佳冬鄉冬根路51號,82.91,住,,,1080310,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0700811,104.4,3,1,2,有,無,1000000,9579,,0.0,0,,RPSNMLSLLHOFFFT08DA,101.4,3.0,0.0,,
牡丹鄉,土地,東源段94地號,2020.0,,一般農業區,農牧用地,1080320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,198,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLQKMHOFFET47DA,0.0,0.0,0.0,,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮公園路２３９巷１號四樓之３,49.92,住,,,1061119,土地6建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1071206,133.8,3,2,2,有,無,4430000,33109,一樓平面,0.0,0,,RPWOMLTLMHOFFCT38CA,80.0,0.0,11.36,,
