鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新店區,房地(土地+建物)+車位,新北市新店區中正路50113號2樓,85.78,工,,,1080129,土地1建物1車位1,二層,5,廠辦,工業用,鋼筋混凝土造,0761021,412.19,0,0,0,無,無,有,84005,204,坡道平面,0.0,0,,RPPOMLOKKHOFFCF28CC
新莊區,房地(土地+建物),新北市新莊區公園一路13號,16.38,住,,,1080211,土地1建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0690213,80.91,0,0,0,無,無,無,22000,272,,0.0,0,,RPPQMLPKKHOFFBF48CC
淡水區,房地(土地+建物),新北市淡水區新市一路三段156巷1號七樓,24.43,住,,,1080214,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060906,122.43,3,2,2,有,有,有,22000,180,,0.0,0,,RPOOMLPKKHOFFEF48CC
淡水區,房地(土地+建物),新北市淡水區大忠街85號四樓,8.15,住,,,1080213,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790828,42.769999999999996,1,0,1,有,有,有,7500,175,,0.0,0,,RPPPMLPKKHOFFEF68CC
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段306巷1號,30.33,住,,,1080119,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980713,127.16,0,2,2,有,有,無,30000,236,坡道平面,0.0,0,,RPTPMLPKKHOFFEF09CC
永和區,建物,新北市永和區博愛街29號3樓,0.0,住,,,1080130,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740415,59.52,3,2,2,有,無,有,16000,269,,0.0,0,續租。；此為新北市社會住宅包租代管計劃之物件，評定市價租金為17778，因為新北市計劃租金上限為18000，選擇代租方案須打九折，實際租賃契約金額為16000。,RPSOMLPKKHOFFHF56CC
汐止區,建物,新北市汐止區龍安路28巷26號25樓-3,0.0,商,,,1080214,土地0建物1車位0,二十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860703,70.91,2,2,1,有,有,有,20000,282,,0.0,0,,RPPNMLPKKHOFFDF38CC
汐止區,建物,新北市汐止區連興街60號8樓,0.0,商,,,1080215,土地0建物1車位0,八層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850814,117.5,3,2,2,有,有,有,24000,204,,0.0,0,,RPQNMLQKKHOFFDF58CC
新店區,建物,新北市新店區安和路三段１４０號五樓,0.0,住,,,1080121,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700318,105.35,3,2,2,有,無,有,13000,123,,0.0,0,租金含管理費,RPPNMLQKKHOFFCF38CC
板橋區,建物,新北市板橋區仁愛路９４號,0.0,住,,,1080120,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0730111,92.04,3,2,2,有,無,有,25000,272,,0.0,0,,RPPNMLQKKHOFFAF18CC
土城區,建物,新北市土城區員福街50號一樓,29.5,住,,,1080129,土地0建物1車位0,一層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,95.09,0,0,0,無,無,無,19500,205,,0.0,0,,RPPOMLSKKHOFFAF48CC
土城區,建物,新北市土城區學成路１０３號九樓,0.0,住,,,1080126,土地0建物1車位1,九層,27,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050704,137.87,3,2,1,有,有,有,31400,228,坡道平面,26.43,0,租金含管理費,RPQPMLSKKHOFFAF68CC
新店區,建物,新北市新店區溪園路３６５之２號十一樓,0.0,住,,,1080126,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921201,73.97,2,1,1,有,有,有,23000,311,,0.0,0,租金含管理費,RPPNMLSKKHOFFCF58CC
新莊區,建物,新北市新莊區中平路２７０巷１０弄２３號十五樓,0.0,住,,,1080126,土地0建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841018,79.75999999999999,2,1,1,有,有,有,18000,226,,0.0,0,,RPUNMLSKKHOFFBF98CC
新莊區,建物,新北市新莊區新豐街２０巷９號六樓,0.0,住,,,1080127,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840502,110.61000000000001,3,2,2,有,無,有,20000,181,,0.0,0,,RPQRMLSKKHOFFBF98CC
新莊區,房地(土地+建物),新北市新莊區思源路177巷24號,27.46,住,,,1080116,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660615,69.74,3,1,1,有,無,無,23000,330,,0.0,0,,RPTSMLSKKHOFFBF76CC
林口區,建物,新北市林口區文化三路一段341號13樓,0.0,住,,,1080114,土地0建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,73.6,1,0,1,有,有,有,20720,282,坡道平面,26.48,0,含管理費、稅金或水電等費用。；,RPVSMLSKKHOFFBF96CC
新莊區,房地(土地+建物),新北市新莊區立信一街92號,34.56,住,,,1080102,土地1建物2車位0,一層,12,店面(店鋪),見其他登記事項,鋼筋混凝土造,0990104,189.87,0,0,2,有,有,無,50000,263,,0.0,0,含管理費、稅金或水電等費用。；,RPXSMLSKKHOFFBF17CC
新莊區,房地(土地+建物)+車位,新北市新莊區立信一街31號5樓,15.53,住,,,1080104,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941123,130.51,3,2,2,有,有,有,28000,215,坡道平面,16.78,0,,RPRTMLSKKHOFFBF66CC
林口區,建物,新北市林口區興林一街９６巷１２號,0.0,住,,,1080128,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0980105,319.43,4,3,5,有,無,有,45000,141,,0.0,0,,RPQNNLSKKHOFFBF68CC
蘆洲區,建物,新北市蘆洲區信義路２７１巷１０號,0.0,住,,,1080127,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0670519,83.0,0,1,1,有,無,無,20000,241,,0.0,0,,RPUNMLSKKHOFFGF86CC
