編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLPLLHOFFKD96CA,24,26.05,共有部分,鋼筋混凝土造,83年10月6日,十二層,
RPQNMLNJMHOFFAD67CA,2,85.48,集合住宅,鋼筋混凝土構造,105年11月9日,二十七層,十五層 陽台 雨遮
RPQNMLNJMHOFFAD67CA,2,73.37,本共有部分之項目有：樓梯間、機房、水箱、特別安全梯、梯廳、排煙管道、排煙室、行動不便電梯、緊急升降機、管道間、進風管道、防空避難室、停車空間、管委會使用空間,鋼筋混凝土構造,105年11月9日,二十七層,
RPWNMLTKLHOFFJD17CA,,151.35,住家用,鋼筋混凝土構造,108年1月4日,三層,一層 二層 三層 陽台
RPQOMLTJMHOFFKD76CA,30,228.98,住商用,鋼筋混凝土造,78年5月30日,四層,一層 二層 三層 四層 陽台 平台 騎樓 電梯樓梯間
RPROMLTJMHOFFKD86CA,38,114.27,住宅、涼棚。,加強磚造、鐵骨造。,70年1月16日,三層,一層 二層 三層
RPQNMLNJMHOFFKD68CA,20,77.08,住家用,鋼筋混凝土造,88年5月19日,十四層,八層 陽台 雨遮
RPQNMLNJMHOFFKD68CA,20,23.85,共有部分,鋼筋混凝土造,88年5月19日,十四層,
RPQNMLNJMHOFFKD68CA,20,8.70,共有部分,鋼筋混凝土造,88年5月19日,十四層,
RPPNMLSLLHOFFJD09CA,25,43.77,住家用,ＲＣ造,83年5月19日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPQOMLKMLHOFFKD68CA,1,13.10,住家用,鋼筋混凝土構造,107年4月2日,五層,二層 陽台
RPQOMLKMLHOFFKD68CA,1,5.84,本共有部分之項目有：電梯間，樓梯間及水箱等３項,鋼筋混凝土構造,107年4月2日,五層,
RPPNMLNJMHOFFAD57CA,2,88.12,集合住宅,鋼筋混凝土構造,105年11月9日,二十七層,三層 陽台 雨遮
RPPNMLNJMHOFFAD57CA,2,74.54,本共有部分之項目有：樓梯間、機房、水箱、特別安全梯、梯廳、排煙管道、排煙室、行動不便電梯、緊急升降機、管道間、進風管道、防空避難室、停車空間、管委會使用空間,鋼筋混凝土構造,105年11月9日,二十七層,
RPOPMLMKMHOFFCD87CA,,85.00,集合住宅,鋼筋混凝土構造,107年11月8日,十三層,十一層 陽台
RPOPMLMKMHOFFCD87CA,,45.30,本共有部份之項目有：防空避難室兼停車空間、停車空間共２項,鋼筋混凝土構造,107年11月8日,十三層,
RPOPMLMKMHOFFCD87CA,,5.93,本共有部份之項目有：安全梯、梯廳、管道間、昇降機、公共服務空間、門廊、車道‧排煙室、電梯共９項。,鋼筋混凝土構造,107年11月8日,十三層,
RPOPMLMKMHOFFCD87CA,,19.36,本共有部份之項目有：樓梯間、機械室、水箱、電梯共４項。,鋼筋混凝土構造,107年11月8日,十三層,
RPVNMLTLLHOFFKD27CA,2,46.96,住家用,鋼筋混凝土構造,105年10月20日,十四層,五層 陽台
RPVNMLTLLHOFFKD27CA,2,46.29,本共有部分之項目有：垃圾暫存間、台電配電場所、發電機室、門&#24304;、門廊、機車停車區、防空避難室、停車空間、汽車坡道、管委會使用空間、電樓梯間、水箱、機械室等１３項,鋼筋混凝土構造,105年10月20日,十四層,
RPVNMLTLLHOFFKD27CA,2,10.08,共有部分（電樓梯間）,鋼筋混凝土構造,105年10月20日,十四層,
RPVNMLSJMHOFFID86CA,24,103.10,住家用,鋼筋混凝土造,84年8月15日,六層,五層 陽台 夾層
RPVNMLSJMHOFFID86CA,24,30.68,共有部分,鋼筋混凝土造,84年8月15日,六層,
RPOQMLSLLHOFFID56CA,42,69.60,住家用,加強磚造,66年4月21日,二層,一層 二層
RPWNMLKLLHOFFID88CA,,203.60,住家用,鋼筋混凝土構造,107年11月5日,四層,一層 二層 三層 四層 陽台
RPUNMLTKLHOFFID86CA,21,106.75,住商用,鋼筋混凝土造,87年4月21日,十四層,一層 二層 陽台 騎樓
RPUNMLTKLHOFFID86CA,21,10.99,防空避難室．停車空間．消防機械室．台電受電室發電室．蓄水池．門廊,鋼筋混凝土造,87年4月21日,十四層,
RPUNMLTKLHOFFID86CA,21,10.57,門廳．梯間．機械室．管理中心,鋼筋混凝土造,87年4月21日,十四層,
RPUNMLQKMHOFFCD68CA,,85.00,集合住宅,鋼筋混凝土構造,107年11月8日,十三層,七層 陽台
RPUNMLQKMHOFFCD68CA,,74.62,本共有部份之項目有：防空避難室兼停車空間、停車空間共２項,鋼筋混凝土構造,107年11月8日,十三層,
RPUNMLQKMHOFFCD68CA,,5.93,本共有部份之項目有：安全梯、梯廳、管道間、昇降機、公共服務空間、門廊、車道‧排煙室、電梯共９項。,鋼筋混凝土構造,107年11月8日,十三層,
RPUNMLQKMHOFFCD68CA,,19.36,本共有部份之項目有：樓梯間、機械室、水箱、電梯共４項。,鋼筋混凝土構造,107年11月8日,十三層,
RPSNMLQKMHOFFCD48CA,,84.54,集合住宅,鋼筋混凝土構造,107年11月8日,十三層,十三層 陽台
RPSNMLQKMHOFFCD48CA,,74.09,本共有部份之項目有：防空避難室兼停車空間、停車空間共２項,鋼筋混凝土構造,107年11月8日,十三層,
RPSNMLQKMHOFFCD48CA,,5.93,本共有部份之項目有：安全梯、梯廳、管道間、昇降機、公共服務空間、門廊、車道‧排煙室、電梯共９項。,鋼筋混凝土構造,107年11月8日,十三層,
RPSNMLQKMHOFFCD48CA,,19.17,本共有部份之項目有：樓梯間、機械室、水箱、電梯共４項。,鋼筋混凝土構造,107年11月8日,十三層,
RPXNMLKLLHOFFID98CA,,195.43,住家用,鋼筋混凝土構造,107年11月5日,四層,一層 二層 三層 四層 陽台
RPOOMLKLLHOFFID18CA,,198.79,住家用,鋼筋混凝土構造,107年11月5日,四層,一層 二層 三層 四層 陽台
RPPOMLKLLHOFFID28CA,,201.34,住家用,鋼筋混凝土構造,107年11月5日,四層,一層 二層 三層 四層 陽台
RPPPMLKLLHOFFID38CA,12,214.92,住商用,鋼筋混凝土造,96年2月15日,四層,一層 二層 三層 四層 陽台 雨遮
RPOPMLKLLHOFFID28CA,25,164.65,住家用,鋼筋混凝土造,83年4月11日,三層,一層 二層 三層 陽台 騎樓
RPPNMLOJMHOFFKD68CA,19,93.11,住家用,鋼筋混凝土造,88年8月24日,十四層,四層 陽台
RPPNMLOJMHOFFKD68CA,19,4.84,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPPNMLOJMHOFFKD68CA,19,18.07,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPPNMLOJMHOFFKD68CA,19,2.52,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPRUMLSLLHOFFHD17CA,,158.51,廠房,鋼骨構造,107年11月22日,一層,一層
