編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVQMLLKLHOFFAN66CA,23,28.09,梯間、避難室、停車空間、車道,鋼筋混凝土造,84年7月18日,十九層,
RPRNMLPLKHOFFGN96CA,12,617.82,補習班、住宅,鋼筋混凝土造,96年5月11日,四層,一層 二層 三層 四層 騎樓
RPQNMLKLKHOFFFN88CA,,257.37,農舍,鋼骨造,105年9月30日,二層,一層 二層 見其他登記事項
RPPNMLSKKHOFFFN86CA,40,98.08,住家用,鋼筋混凝土造,68年5月11日,二層,一層 二層
RPQNMLSKKHOFFFN96CA,,158.01,住宅,鋼筋混凝土造,107年7月25日,三層,一層 二層 三層
RPSNMLTKKHOFFGN47DA,36,83.86,住家用,加強磚造,71年12月10日,二層,一層 二層
RPRNMLNKLHOFFCN09DA,26,223.91,住家用,鋼筋混凝土造,81年10月20日,四層,一層 二層 三層 四層 騎樓
RPRNMLNLKHOFFAN78CA,27,98.30,住家用,鋼筋混凝土造,81年2月29日,五層,五層
RPRNMLNLKHOFFAN78CA,27,9.98,梯間,鋼筋混凝土造,81年2月29日,五層,
RPRNMLNLKHOFFAN78CA,27,3.14,梯間,鋼筋混凝土造,81年2月29日,五層,
RPRNMLNLKHOFFAN78CA,27,30.89,貯藏室、停車空間、辦公室,鋼筋混凝土造,81年2月29日,五層,
RPXNMLTKKHOFFAN37DA,49,104.12,住家用,鋼筋混凝土加強磚造,59年4月6日,二層,一層 二層
RPTNMLTKKHOFFGN57DA,34,123.82,住家用,加強磚造,74年2月7日,二層,一層 二層 騎樓
RPRNMLTKKHOFFGN37DA,23,139.67,住家用,鋼筋混凝土造,84年8月28日,十層,一層 二層 三層 陽台 平台 騎樓
RPRNMLTKKHOFFGN37DA,23,18.41,避難室．停車空間．車道．梯間．走廊（公共設施）,鋼筋混凝土造,84年8月28日,十層,
RPQNMLNLKHOFFFN56CA,30,85.76,住家用,鋼筋混凝土造,78年2月1日,二層,一層 二層
RPRNMLSKKHOFFGN17CA,1,248.66,住家用,鋼筋混凝土造,107年7月26日,四層,一層 二層 三層 四層 陽台
RPQNMLQLKHOFFEN76CA,28,328.85,農舍,加強磚造,80年6月26日,一層,一層
RPSNMLMLKHOFFEN56CA,13,180.97,住家用,鋼筋混凝土造,95年4月28日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮
RPROMLSKKHOFFDN96CA,44,101.75,住家用,鋼筋混凝土加強磚造,64年2月21日,二層,一層 二層 夾層
RPQNMLOKLHOFFGN76CA,16,140.85,住家用,鋼筋混凝土造,92年5月7日,三層,一層 二層 三層 陽台
RPSNMLTKKHOFFDN07CA,40,366.52,住商用,鋼筋混凝土造,67年10月24日,四層,一層 二層 三層 四層 騎樓
RPSNMLQLKHOFFDN86CA,4,.54,守衛室,鋼筋混凝土造,103年9月3日,二層,
RPSNMLQLKHOFFDN86CA,4,281.81,住宅,鋼筋混凝土造,104年2月2日,五層,一層 二層 三層 四層 五層 陽台
RPSNMLMLKHOFFCN98CA,,176.78,住宅、樓梯間,鋼筋混凝土造,107年10月11日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項
RPTNMLMLKHOFFCN09CA,,176.78,住宅、樓梯間,鋼筋混凝土造,107年10月11日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項
RPQNMLPJLHOFFHN86CA,,194.36,停車空間、店鋪、樓梯間、住宅,鋼筋混凝土造,107年11月15日,四層,一層 二層 三層 四層 陽台
RPRNMLRLKHOFFCN76CA,38,109.52,農舍,加強磚造,70年1月12日,二層,一層 二層
