鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
麻豆區,土地,埤頭段473-6地號,337.01,工,,,1080327,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3518384,10440,,0.0,0,向政府機關承購之案件。；,RPRNMLSKMHOFFFD88CA,0.0,0.0,0.0,,
下營區,土地,營南段949-4地號,173.27,住,,,1080329,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3144600,18149,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLTKMHOFFFD09CA,0.0,0.0,0.0,,
官田區,土地,烏山頭段191-8地號,69.0,住,,,1080407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250440,3630,,0.0,0,含增建或未登記建物。；土地增值稅負擔15000元,RPPNMLNLMHOFFFD28CA,0.0,0.0,0.0,,
官田區,土地,三結義段503地號,769.5,農,,,1080410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,2599,,0.0,0,,RPSNMLNLMHOFFFD58CA,0.0,0.0,0.0,,
佳里區,房地(土地+建物)+車位,臺南市佳里區佳南路２６５巷９號,108.07,住,,,1061224,土地2建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,1071211,195.72,5,2,3,有,無,8080000,41283,一樓平面,13.75,0,建商與地主合建案。；,RPQPMLOLMHOFFGD78CA,156.63,0.0,25.34,,
佳里區,房地(土地+建物),臺南市佳里區佳南路２６５巷１０號,111.83,住,,,1061218,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,1071211,201.06,5,2,3,有,無,8300000,41281,,0.0,0,建商與地主合建案。；,RPTOMLOLMHOFFGD98CA,170.7,0.0,30.36,,
佳里區,房地(土地+建物)+車位,臺南市佳里區佳南路２６５巷１６號,106.85,住,,,1070120,土地2建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,1071211,194.51,5,2,3,有,無,8200000,42157,一樓平面,13.75,0,建商與地主合建案。；,RPVOMLOLMHOFFGD56CA,153.21,0.0,27.55,,
佳里區,土地,佳化段1947-1地號,24.0,,鄉村區,乙種建築用地,1080406,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,666666,27778,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPTNMLMLMHOFFGD68CA,0.0,0.0,0.0,,
七股區,土地,龍山段1024地號,1001.08,,一般農業區,農牧用地,1080320,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,619260,619,,0.0,0,,RPXNMLMLMHOFFGD09CA,0.0,0.0,0.0,,
七股區,土地,龍山段832地號,455.68,,一般農業區,農牧用地,1080320,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,281820,618,,0.0,0,,RPOOMLMLMHOFFGD28CA,0.0,0.0,0.0,,
佳里區,土地,興化段49-1地號,2.5,,鄉村區,交通用地,1080212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42000,16800,,0.0,0,,RPSNMLNKNHOFFGD68CA,0.0,0.0,0.0,,
佳里區,土地,興化段49地號,1111.0,,鄉村區,乙種建築用地,1080212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18820000,16940,,0.0,0,,RPTNMLNKNHOFFGD78CA,0.0,0.0,0.0,,
中西區,車位,臺南市中西區湖美街７０巷,0.0,,,,1080325,土地0建物0車位1,,,其他,,,,21.55,0,0,0,有,無,800000,,坡道平面,0.0,800000,單獨車位交易。；,RPVOMLNLMHOFFAD48CA,0.0,0.0,0.0,,
中西區,土地,永安段2169-7地號,500.36,其他,,,1080329,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7119623,14229,,0.0,0,包含公共設施保留地之交易。；,RPXOMLMLMHOFFAD58CA,0.0,0.0,0.0,,
安平區,房地(土地+建物)+車位,臺南市安平區健康路三段６９６之２號五樓之２,22.15,住,,,1080310,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,0940917,137.95999999999998,3,2,1,有,有,5600000,40591,坡道平面,0.0,0,,RPTPMLMLMHOFFAD28CA,61.17,0.0,7.44,,
北區,房地(土地+建物)+車位,臺南市北區北門路二段５２７巷１１號九樓之１,32.06,住,,,1080326,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0930329,146.5,3,2,2,有,有,6000000,40956,坡道平面,0.0,0,,RPQOMLOLMHOFFAD08CA,86.33,0.0,8.61,,
安平區,房地(土地+建物)+車位,臺南市安平區健康三街５９２巷２１號之１,26.1,商,,,1080310,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820121,132.39999999999998,3,2,2,有,有,3600000,27190,坡道平面,0.0,0,,RPTNMLQLMHOFFAD48CA,69.76,0.0,11.06,,
北區,房地(土地+建物)+車位,臺南市北區小東路１４７巷２２弄２７號,121.38,住,,,1080312,土地6建物1車位2,全,四層,透天厝,住家用,鋼筋混凝土造,0851217,337.77,5,5,4,有,有,17000000,50330,坡道平面,39.34,0,,RPSNMLMJNHOFFAD87CA,224.61,3.03,12.69,,
中西區,房地(土地+建物),臺南市中西區五妃街２５８號二樓之２,12.31,住,,,1080321,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0931203,70.99000000000001,2,1,1,有,有,3270000,46063,,0.0,0,陽台外推,RPWNMLMJNHOFFAD28CA,42.03,0.0,8.74,,
中西區,房地(土地+建物),臺南市中西區武聖路２４１號,131.63,住,,,1080316,土地2建物1車位0,一層，二層，三層，四層，屋頂突出物，騎樓,四層,店面(店鋪),住家用,鋼筋混凝土造,0840425,317.75,5,3,5,有,無,24500000,77105,,0.0,0,一樓空地往上增建至二樓,RPQOMLMJNHOFFAD77CA,296.74,0.0,21.01,,
北區,土地,文元段672地號,32.68,其他,,,1080322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,9792,,0.0,0,包含公共設施保留地之交易。；,RPPPMLLJNHOFFAD67CA,0.0,0.0,0.0,,
北區,房地(土地+建物)+車位,臺南市北區海安路三段７９８號４樓之２,31.41,住,,,1080316,土地1建物1車位2,四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060518,324.51,3,2,3,有,有,18000000,62896,坡道平面,71.71,2100000,,RPOPMLMJNHOFFAD67CA,163.62,0.0,18.69,,
北區,房地(土地+建物),臺南市北區育德一街７號五樓,20.32,住,,,1080323,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0930818,79.96000000000001,2,2,1,有,有,5060000,63282,,0.0,0,,RPTPMLTLMHOFFAD98CA,55.42,0.0,6.76,,
中西區,房地(土地+建物),臺南市中西區華平路８３６號,79.96,住,,,1080303,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,0941103,183.12,4,1,4,有,無,12600000,68807,,0.0,0,含增建或未登記建物。本案登記二人,RPWNMLTLMHOFFAD09CA,157.42,0.0,25.7,,
北區,房地(土地+建物)+車位,臺南市北區北成路４０１號五樓之３,13.37,住,,,1080327,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990406,102.68,2,1,1,有,有,5300000,51617,坡道平面,31.98,0,,RPWNMLRKMHOFFAD78CA,45.79,0.0,5.43,,
北區,房地(土地+建物),臺南市北區北安路一段１４２巷５３號２樓之３,26.42,住,,,1080313,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0960629,80.61,2,2,1,有,有,4000000,49622,,0.0,0,,RPQNMLLLMHOFFAD67CA,54.31,0.0,3.67,,
北區,房地(土地+建物),臺南市北區公園路１３４號六樓之１１,4.02,商,,,1080402,土地2建物1車位0,六層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780803,36.31,1,1,1,有,有,1350000,37180,,0.0,0,,RPUOMLTKMHOFFAD88CA,27.77,0.0,3.08,,
中西區,土地,白金段238地號,90.29,商,,,1080309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,44302,,0.0,0,,RPPNMLKLMHOFFAD47CA,0.0,0.0,0.0,,
北區,土地,大興段271地號,175.56,其他,,,1080329,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3445014,19623,,0.0,0,包含公共設施保留地之交易。；,RPVOMLMLMHOFFAD38CA,0.0,0.0,0.0,,
